기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2024-01-02,A관(1공장),[10] 사출조립,1-day_58_Kontaktni-HA,1-Day_Sph,57160.0,57000.0,0.0,99.72,
2024-01-02,A관(1공장),[10] 사출조립,Sincere 1Day  UV,1-Day_Sph,20080.0,16600.0,3400.0,82.67,
2024-01-02,A관(1공장),[10] 사출조립,S43-Dry-14.5,FRP_Sph,16080.0,13300.0,2700.0,82.71,
2024-01-02,A관(1공장),[10] 사출조립,T55_소사각,FRP_Toric,4800.0,2360.0,2400.0,49.17,
2024-01-02,A관(1공장),[10] 사출조립,O2O2 M_UV_Spherical,Si_FRP_Sph,32160.0,32000.0,0.0,99.5,
2024-01-02,A관(1공장),[10] 사출조립,O2O2 M_UV_Toric,Si_FRP_Toric,8480.0,5200.0,3180.0,61.32,
2024-01-02,A관(1공장),[20] 분리,Sincere 1Day  UV,1-Day_Sph,2310.0,1100.0,1210.0,47.62,
2024-01-02,A관(1공장),[20] 분리,(NEW)S43-HD-Dry-14.2,FRP_Sph,6790.0,4439.0,2351.0,65.38,
2024-01-02,A관(1공장),[20] 분리,(NEW)S43-HD-Dry-14.4,FRP_Sph,25930.0,16800.0,9130.0,64.79,
2024-01-02,A관(1공장),[20] 분리,Sincere_2week UV_Clear,FRP_Sph,6300.0,2543.0,3757.0,40.37,
2024-01-02,A관(1공장),[20] 분리,O2O2 M_UV_Spherical,Si_FRP_Sph,48760.0,35240.0,13520.0,72.27,
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,Meido DK Color_원형,FRP_Color_Sph,198.0,198.0,0.0,100.0,
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,Rose_color_원형,FRP_Color_Sph,33636.0,33636.0,0.0,100.0,
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_소사각,FRP_Sph,19871.0,19871.0,0.0,100.0,
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,O2O2 M_UV_Spherical_(소),Si_FRP_Sph,17704.0,17704.0,0.0,100.0,
2024-01-02,A관(1공장),[55] 접착/ 멸균,Meido DK Color_원형,FRP_Color_Sph,198.0,174.0,24.0,87.88,
2024-01-02,A관(1공장),[55] 접착/ 멸균,Rose_color_원형,FRP_Color_Sph,7572.0,7394.0,178.0,97.65,
2024-01-02,A관(1공장),[55] 접착/ 멸균,Metha_55_소사각,FRP_Sph,7322.0,7114.0,208.0,97.16,
2024-01-02,A관(1공장),[55] 접착/ 멸균,Metha_55_원형,FRP_Sph,6997.0,6839.0,158.0,97.74,
2024-01-02,A관(1공장),[55] 접착/ 멸균,S55_소사각,FRP_Sph,8263.0,7972.0,291.0,96.48,
2024-01-02,A관(1공장),[55] 접착/ 멸균,O2O2 M_Spherical(DK70)_K2-SMD_(중),Si_FRP_Sph,2500.0,2190.0,310.0,87.6,
2024-01-02,A관(1공장),[55] 접착/ 멸균,O2O2 M_UV_Spherical_(소),Si_FRP_Sph,38801.0,34549.0,4252.0,89.04,
2024-01-02,A관(1공장),[80] 누수/규격검사,Advance_EO_소사각,FRP_Color_Sph,122.0,117.0,0.0,95.9,95.9
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella Diamond_14.5_중사각,FRP_Color_Sph,2244.0,2114.0,27.0,94.21,94.21
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella Glow_중사각,FRP_Color_Sph,1116.0,1068.0,1.0,95.7,95.7
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella-Contour_중사각,FRP_Color_Sph,395.0,117.0,0.0,29.62,29.62
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella-Elite_14.5_중사각,FRP_Color_Sph,2155.0,2043.0,7.0,94.8,94.8
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella-Natural_14.5_중사각,FRP_Color_Sph,1008.0,968.0,8.0,96.03,96.03
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella-Natural_중사각,FRP_Color_Sph,106.0,103.0,0.0,97.17,97.17
2024-01-02,A관(1공장),[80] 누수/규격검사,Bella-SnowWhite_14.5_중사각,FRP_Color_Sph,468.0,449.0,0.0,95.94,95.94
2024-01-02,A관(1공장),[80] 누수/규격검사,Celena Shaded_중사각,FRP_Color_Sph,2192.0,2155.0,0.0,98.31,98.31
2024-01-02,A관(1공장),[80] 누수/규격검사,Cihan Elegance_중사각,FRP_Color_Sph,1476.0,1282.0,0.0,86.86,86.86
2024-01-02,A관(1공장),[80] 누수/규격검사,Clalen Iris_GRA_3302_원형,FRP_Color_Sph,552.0,0.0,546.0,0.0,0.0
2024-01-02,A관(1공장),[80] 누수/규격검사,Meido_38%_Elegant_원형,FRP_Color_Sph,552.0,530.0,13.0,96.01,96.01
2024-01-02,A관(1공장),[80] 누수/규격검사,NewFusion_원형,FRP_Color_Sph,508.0,479.0,16.0,94.29,94.29
2024-01-02,A관(1공장),[80] 누수/규격검사,Metha_55_소사각,FRP_Sph,4146.0,4107.0,13.0,99.06,97.46
2024-01-02,A관(1공장),[80] 누수/규격검사,Metha_55_원형,FRP_Sph,10379.0,10218.0,88.0,98.45,97.05
2024-01-02,A관(1공장),[80] 누수/규격검사,S55_소사각,FRP_Sph,3310.0,3279.0,5.0,99.06,96.81
2024-01-02,A관(1공장),[80] 누수/규격검사,O2O2 M_Spherical(DK70)_K2-SMD_(중),Si_FRP_Sph,2190.0,2131.0,16.0,97.31,85.24
2024-01-02,A관(1공장),[80] 누수/규격검사,O2O2 M_UV_Spherical_(소),Si_FRP_Sph,43887.0,42777.0,528.0,97.47,90.11
2024-01-02,C관(2공장),[10] 사출조립,1-Day_iris_SoulBrown,1-Day_Color_Sph,113033.0,100869.0,11204.0,89.24,
2024-01-02,C관(2공장),[10] 사출조립,EYEQUE_MILK CHOC_GIRL POWER,1-Day_Color_Sph,49789.0,42137.0,7187.0,84.63,
2024-01-02,C관(2공장),[10] 사출조립,Hapa D_First Love Kristin_Brown,1-Day_Color_Sph,26691.0,20215.0,6356.0,75.74,
2024-01-02,C관(2공장),[10] 사출조립,Moody D_B-dasha_Nanodots Wicked Games_55%,1-Day_Color_Sph,105791.0,99529.0,5797.0,94.08,
2024-01-02,C관(2공장),[10] 사출조립,Moody D_R-pingguo_Nanodots Wicked Games_55%,1-Day_Color_Sph,37573.0,36216.0,1117.0,96.39,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Crystal Bloom_38% UV,1-Day_Color_Sph,76206.0,69791.0,6055.0,91.58,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Idol Ring_38% UV,1-Day_Color_Sph,114116.0,82711.0,30835.0,72.48,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Melty Mist_55% UV,1-Day_Color_Sph,80809.0,74823.0,5386.0,92.59,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Nudie Beige_55% UV,1-Day_Color_Sph,17607.0,11647.0,5720.0,66.15,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Puree Greige_38% UV,1-Day_Color_Sph,12483.0,6505.0,5858.0,52.11,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Rutilated Drop_38% UV,1-Day_Color_Sph,109531.0,94946.0,13880.0,86.68,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Sakura Smore_55% UV,1-Day_Color_Sph,160473.0,147111.0,12522.0,91.67,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Smoky Quartz_38% UV,1-Day_Color_Sph,61838.0,49153.0,12445.0,79.49,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Sugar Donut_38% UV,1-Day_Color_Sph,21405.0,18008.0,3277.0,84.13,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Teddy Brown_55% UV,1-Day_Color_Sph,14678.0,13759.0,799.0,93.74,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Tiramisu Ring_55% UV,1-Day_Color_Sph,92214.0,76997.0,14617.0,83.5,
2024-01-02,C관(2공장),[10] 사출조립,PIA D_Twin Topaz_38% UV,1-Day_Color_Sph,69911.0,58056.0,11495.0,83.04,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Amethyst UV_1-Day 38%,1-Day_Color_Sph,55321.0,45305.0,9671.0,81.89,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Date topaz,1-Day_Color_Sph,86812.0,72196.0,14136.0,83.16,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Grege Quartz UV_1-Day 38%,1-Day_Color_Sph,48246.0,41999.0,5887.0,87.05,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Lemonade_55%_1-DAY,1-Day_Color_Sph,10406.0,8322.0,1964.0,79.97,
2024-01-02,C관(2공장),[10] 사출조립,PIA_MS4 Mirror Gray_3T,1-Day_Color_Sph,57950.0,51418.0,6172.0,88.73,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Pearl Cats Eye UV_1-Day 38%,1-Day_Color_Sph,73616.0,67581.0,5675.0,91.8,
2024-01-02,C관(2공장),[10] 사출조립,PIA_RUSTY BEIGE_1D_55%,1-Day_Color_Sph,12200.0,5352.0,6728.0,43.87,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Shiny Brown_55%_14.5_1-DAY,1-Day_Color_Sph,13224.0,11287.0,1817.0,85.35,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Strawberry Quartz,1-Day_Color_Sph,32159.0,26153.0,5886.0,81.32,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Tulle Brown_1D_55%_14.2,1-Day_Color_Sph,12520.0,12281.0,119.0,98.09,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Date topaz CP-0.75 Toric_UV,1-Day_Color_Toric,26225.0,22747.0,3253.0,86.74,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Date topaz CP-1.25 Toric_UV,1-Day_Color_Toric,2182.0,2109.0,58.0,96.65,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Opal CP-0.75 Toric_UV,1-Day_Color_Toric,34001.0,30689.0,2997.0,90.26,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Opal CP-1.25 Toric_UV,1-Day_Color_Toric,5304.0,5231.0,28.0,98.62,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Strawberry Quartz CP-0.75 Toric_UV,1-Day_Color_Toric,58807.0,48348.0,10084.0,82.21,
2024-01-02,C관(2공장),[10] 사출조립,PIA_Strawberry Quartz CP-1.25 Toric_UV,1-Day_Color_Toric,51727.0,38729.0,12563.0,74.87,
2024-01-02,C관(2공장),[10] 사출조립,Coffee Jelly_PIA_M,FRP_Color_Sph,19620.0,16113.0,3327.0,82.13,
2024-01-02,C관(2공장),[20] 분리,1-Day_iris_SoulBrown,1-Day_Color_Sph,110548.0,95292.0,15256.0,86.2,
2024-01-02,C관(2공장),[20] 분리,EYEQUE_MILK CHOC_GIRL POWER,1-Day_Color_Sph,17975.0,13822.0,4153.0,76.9,
2024-01-02,C관(2공장),[20] 분리,PIA D_Bubble Blue_55% UV,1-Day_Color_Sph,58870.0,50536.0,8334.0,85.84,
2024-01-02,C관(2공장),[20] 분리,PIA D_Caramel Souffle_38% UV,1-Day_Color_Sph,9198.0,7435.0,1763.0,80.83,
2024-01-02,C관(2공장),[20] 분리,PIA D_Coffee Jelly_55% UV,1-Day_Color_Sph,22166.0,19869.0,2297.0,89.64,
2024-01-02,C관(2공장),[20] 분리,PIA D_Cream Rose_38% UV,1-Day_Color_Sph,6395.0,5320.0,1075.0,83.19,
2024-01-02,C관(2공장),[20] 분리,PIA D_Crystal Bloom_38% UV,1-Day_Color_Sph,55939.0,49492.0,6447.0,88.47,
2024-01-02,C관(2공장),[20] 분리,PIA D_Idol Ring_38% UV,1-Day_Color_Sph,6663.0,5070.0,1593.0,76.09,
2024-01-02,C관(2공장),[20] 분리,PIA D_Jelly Gray_38% UV,1-Day_Color_Sph,17381.0,14036.0,3345.0,80.75,
2024-01-02,C관(2공장),[20] 분리,PIA D_Lady Black_38% UV,1-Day_Color_Sph,37731.0,29249.0,8482.0,77.52,
2024-01-02,C관(2공장),[20] 분리,PIA D_Maple Milktea_38% UV,1-Day_Color_Sph,5594.0,3954.0,1640.0,70.68,
2024-01-02,C관(2공장),[20] 분리,PIA D_Melty Mist_55% UV,1-Day_Color_Sph,106330.0,91478.0,14852.0,86.03,
2024-01-02,C관(2공장),[20] 분리,PIA D_Rutilated Drop_38% UV,1-Day_Color_Sph,32460.0,25104.0,7356.0,77.34,
2024-01-02,C관(2공장),[20] 분리,PIA D_Sakura Smore_55% UV,1-Day_Color_Sph,221809.0,183194.0,38615.0,82.59,
