CHECK SHEET NO,생산일자,공장,공정코드,신규분류요약,함수율,품목코드,품명,양품수량,불량수량,샘플수량,생산수량,샘플창고수량,샘플제외 양품수량,멸균번호,기계코드,상태,SIZE
S20260112-018,2026-01-11,S관(3공장),[10] 사출조립,Si_1-Day_Color_Sph,45,R0176-00.00MBN3,Clalen O2O2 D_Mute Brown_45%,"1,104",74,0,"1,178",0,"1,104",45KD-SCU,B형 조립중합1호기,확인,14.2
S20260113-506,2026-01-13,S관(3공장),[10] 사출조립,Si_1-Day_Color_Sph,45,R0176-00.00MBN3,Clalen O2O2 D_Mute Brown_45%,729,136,0,865,0,729,45KD-SCU,B형 조립중합6호기,확인,14.2
S20260113-504,2026-01-13,S관(3공장),[10] 사출조립,Si_1-Day_Color_Sph,45,R0176-00.00MBN3,Clalen O2O2 D_Mute Brown_45%,801,64,0,865,0,801,45KD-SCU,B형 조립중합6호기,확인,14.2
S20260113-204,2026-01-13,S관(3공장),[10] 사출조립,Si_1-Day_Color_Sph,45,R0176-00.00MBN3,Clalen O2O2 D_Mute Brown_45%,806,27,0,833,0,806,45KD-SCU,B형 조립중합1호기,확인,14.2
C20260106-180,2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P0109A-01.00ROB,Clalen D_Iris_Rosy Brown,"2,085",2,0,"2,087",0,"2,085",,워터배스2-11호기,확인,14.2
C20260106-180,2026-01-08,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P0109A-01.00ROB,Clalen D_Iris_Rosy Brown,"2,065",20,,"2,085",0,"2,065",OG93,검사39호기,확인,14.2
C20260106-180,2026-01-08,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P0109A-01.00ROB,Clalen D_Iris_Rosy Brown,"2,060",5,0,"2,065",0,"2,060",OG93,누수/규격검사(2공장),확인,14.2
C20260115-159,2026-01-18,C관(2공장),[80] 누수/규격검사,1-Day_Color_Sph,55,P0110A-06.00SNB,Clalen D_Iris_Shiny Brown,"2,390",5,0,"2,395",0,"2,390",OG94,누수/규격검사(2공장),확인,14.2
C20260115-159,2026-01-17,C관(2공장),[45] 하이드레이션/전면검사,1-Day_Color_Sph,55,P0110A-06.00SNB,Clalen D_Iris_Shiny Brown,"2,415",1,0,"2,416",0,"2,415",,워터배스2-13호기,확인,14.2
C20260115-159,2026-01-17,C관(2공장),[55] 접착/ 멸균,1-Day_Color_Sph,55,P0110A-06.00SNB,Clalen D_Iris_Shiny Brown,"2,395",15,5,"2,415",0,"2,395",OG94,검사47호기,확인,14.2
