기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2025-01-07,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_소사각,FRP_Sph,27971.0,27971.0,0.0,100.0,
2025-01-07,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_원형,FRP_Sph,14802.0,14802.0,0.0,100.0,
2025-01-07,A관(1공장),[45] 하이드레이션/전면검사,T38_금캡,FRP_Toric,1200.0,1200.0,0.0,100.0,
2025-01-07,A관(1공장),[45] 하이드레이션/전면검사,T38_금캡(UV포함),FRP_Toric,2581.0,2581.0,0.0,100.0,
2025-01-07,C관(2공장),[45] 하이드레이션/전면검사,1-Day_iris_Suzy Gray,1-Day_Color_Sph,801.0,0.0,0.0,0.0,
2025-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Cream Beige_14.4,1-Day_Color_Sph,490.0,0.0,0.0,0.0,
2025-01-08,A관(1공장),[10] 사출조립,1-day_58_Kontaktni-HA,1-Day_Sph,19674.0,19594.0,0.0,99.59,
2025-01-08,A관(1공장),[10] 사출조립,1D_55 clear feliamo(투명),1-Day_Sph,20752.0,18687.0,1985.0,90.05,
2025-01-08,A관(1공장),[10] 사출조립,Sincere_2week UV_Clear,FRP_Sph,14921.0,12129.0,2712.0,81.29,
2025-01-08,A관(1공장),[10] 사출조립,O2O2 D_UV_Toric_SMD,Si_1-Day_Toric,2916.0,2836.0,0.0,97.26,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,Bella Diamond_14.5_중사각,FRP_Color_Sph,3835.0,3835.0,0.0,100.0,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,NewFusion_소사각,FRP_Color_Sph,9910.0,9910.0,0.0,100.0,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,(UV)CS30_원형_8.60,FRP_Sph,28777.0,27777.0,0.0,96.53,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_소사각,FRP_Sph,36812.0,35812.0,0.0,97.28,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_원형,FRP_Sph,4783.0,4783.0,0.0,100.0,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,S38-2_원형(Blue),FRP_Sph,3817.0,3817.0,0.0,100.0,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,S55_소사각,FRP_Sph,19280.0,18283.0,0.0,94.83,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,US55-2(M)_소사각,FRP_Sph,1000.0,0.0,0.0,0.0,
2025-01-08,A관(1공장),[45] 하이드레이션/전면검사,T55_소사각,FRP_Toric,6601.0,6601.0,0.0,100.0,
2025-01-08,A관(1공장),[55] 접착/ 멸균,Bella Diamond_14.5_바이알,FRP_Color_Sph,24.0,24.0,0.0,100.0,
2025-01-08,A관(1공장),[55] 접착/ 멸균,Bella-SnowWhite_14.5_바이알,FRP_Color_Sph,587.0,587.0,0.0,100.0,
2025-01-08,A관(1공장),[55] 접착/ 멸균,(UV)CS30_원형_8.60,FRP_Sph,18704.0,18471.0,233.0,98.75,
2025-01-08,A관(1공장),[55] 접착/ 멸균,Metha_55_소사각,FRP_Sph,58110.0,55897.0,2213.0,96.19,
