기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2023-01-02,A관(1공장),[10] 사출조립,1-Day_Metha,1-Day_Sph,115092.0,109222.0,5870.0,94.9,
2023-01-02,A관(1공장),[10] 사출조립,1-day_58_Kontaktni-HA,1-Day_Sph,161604.0,159044.0,2160.0,98.42,
2023-01-02,A관(1공장),[10] 사출조립,1D_55 clear feliamo(투명),1-Day_Sph,48913.0,38978.0,9815.0,79.69,
2023-01-02,A관(1공장),[10] 사출조립,(NEW)S43-HD-Dry-14.4,FRP_Sph,28324.0,27718.0,606.0,97.86,
2023-01-02,A관(1공장),[10] 사출조립,US55-2(M),FRP_Sph,81606.0,77956.0,3650.0,95.53,
2023-01-02,A관(1공장),[10] 사출조립,T38_(UV포함),FRP_Toric,18640.0,11130.0,7260.0,59.71,
2023-01-02,A관(1공장),[10] 사출조립,T55_소사각,FRP_Toric,19130.0,15920.0,2860.0,83.22,
2023-01-02,A관(1공장),[10] 사출조립,O2O2 M_UV_Toric,Si_FRP_Toric,36640.0,31340.0,4600.0,85.53,
2023-01-02,A관(1공장),[20] 분리,1-Day_Metha,1-Day_Sph,47524.0,32737.0,14787.0,68.89,
2023-01-02,A관(1공장),[20] 분리,Metha,FRP_Sph,67906.0,48706.0,19200.0,71.73,
2023-01-02,A관(1공장),[20] 분리,Metha_55_8.90,FRP_Sph,2359.0,1805.0,554.0,76.52,
2023-01-02,A관(1공장),[20] 분리,US55-2(M),FRP_Sph,25811.0,16782.0,9029.0,65.02,
2023-01-02,A관(1공장),[20] 분리,T38_(UV포함),FRP_Toric,400.0,382.0,18.0,95.5,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_소사각,FRP_Sph,35660.0,35660.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_원형,FRP_Sph,31670.0,31670.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,S55_소사각,FRP_Sph,9598.0,9598.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,US55-2(M)_소사각,FRP_Sph,32308.0,32308.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,T38_금캡(UV포함),FRP_Toric,4067.0,3767.0,300.0,92.62,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,T55_소사각,FRP_Toric,5642.0,5642.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,Silicone relax_소사각,Si_FRP_M/F,2425.0,2425.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,O2O2 M_Spherical(DK70)_K-type_(소),Si_FRP_Sph,2000.0,2000.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,O2O2 M_UV_Spherical_(소),Si_FRP_Sph,1343.0,1343.0,0.0,100.0,
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,O2O2 M_UV_Toric_(소),Si_FRP_Toric,3473.0,3473.0,0.0,100.0,
2023-01-02,A관(1공장),[55] 접착/ 멸균,Metha_55_소사각,FRP_Sph,37939.0,36906.0,1033.0,97.28,
2023-01-02,A관(1공장),[55] 접착/ 멸균,Metha_55_원형,FRP_Sph,35391.0,34720.0,671.0,98.1,
2023-01-02,A관(1공장),[55] 접착/ 멸균,S55_소사각,FRP_Sph,28540.0,27706.0,834.0,97.08,
2023-01-02,A관(1공장),[55] 접착/ 멸균,US55-2(M)_소사각,FRP_Sph,16654.0,16356.0,298.0,98.21,
2023-01-02,A관(1공장),[55] 접착/ 멸균,T38_금캡,FRP_Toric,63.0,63.0,0.0,100.0,
2023-01-02,A관(1공장),[55] 접착/ 멸균,T38_금캡(UV포함),FRP_Toric,1701.0,1632.0,69.0,95.94,
2023-01-02,A관(1공장),[55] 접착/ 멸균,T55_소사각,FRP_Toric,1828.0,1646.0,182.0,90.04,
2023-01-02,A관(1공장),[80] 누수/규격검사,Metha_55_소사각,FRP_Sph,28960.0,28094.0,785.0,97.01,86.11
2023-01-02,A관(1공장),[80] 누수/규격검사,Metha_55_원형,FRP_Sph,35306.0,34662.0,286.0,98.18,89.49
2023-01-02,A관(1공장),[80] 누수/규격검사,S55_소사각,FRP_Sph,32260.0,31542.0,478.0,97.77,96.07
2023-01-02,A관(1공장),[80] 누수/규격검사,US55-2(M)_소사각,FRP_Sph,26114.0,25280.0,640.0,96.81,89.69
2023-01-02,A관(1공장),[80] 누수/규격검사,T38_금캡,FRP_Toric,63.0,62.0,0.0,98.41,98.41
2023-01-02,A관(1공장),[80] 누수/규격검사,T55_소사각,FRP_Toric,2830.0,2723.0,55.0,96.22,94.56
2023-01-02,A관(1공장),[80] 누수/규격검사,O2O2 M_UV_Toric_(소),Si_FRP_Toric,2496.0,1866.0,516.0,74.76,74.76
2023-01-02,C관(2공장),[10] 사출조립,1-Day_iris_JazzBlack,1-Day_Color_Sph,64647.0,58865.0,5422.0,91.06,
2023-01-02,C관(2공장),[10] 사출조립,1-Day_iris_Latin,1-Day_Color_Sph,41927.0,35052.0,6665.0,83.6,
2023-01-02,C관(2공장),[10] 사출조립,1-Day_iris_Rhapsody,1-Day_Color_Sph,80763.0,74200.0,6098.0,91.87,
2023-01-02,C관(2공장),[10] 사출조립,1-Day_iris_SoulBrown,1-Day_Color_Sph,76410.0,72717.0,3333.0,95.17,
2023-01-02,C관(2공장),[10] 사출조립,1-Day_iris_Suzy Gray,1-Day_Color_Sph,24117.0,23568.0,429.0,97.72,
2023-01-02,C관(2공장),[10] 사출조립,AKMA REAL FIT 3 COLOR Brown,1-Day_Color_Sph,20976.0,20737.0,119.0,98.86,
2023-01-02,C관(2공장),[10] 사출조립,ANW D_Kristin Creme Brown_38%,1-Day_Color_Sph,73193.0,60088.0,12745.0,82.1,
2023-01-02,C관(2공장),[10] 사출조립,ANW D_Kristin Dusk Brown_38%,1-Day_Color_Sph,87427.0,64794.0,22273.0,74.11,
2023-01-02,C관(2공장),[10] 사출조립,ANW D_Kristin PINK BROWN_38%,1-Day_Color_Sph,44834.0,39892.0,4702.0,88.98,
2023-01-02,C관(2공장),[10] 사출조립,ANW D_Kristin RED BROWN_38%,1-Day_Color_Sph,30750.0,29050.0,1580.0,94.47,
2023-01-02,C관(2공장),[10] 사출조립,PIA D_Affogato_55% UV,1-Day_Color_Sph,18898.0,17076.0,1732.0,90.36,
2023-01-02,C관(2공장),[10] 사출조립,PIA D_Coffee Jelly_55% UV,1-Day_Color_Sph,20941.0,20495.0,281.0,97.87,
2023-01-02,C관(2공장),[10] 사출조립,PIA D_MELON PAN_55% UV,1-Day_Color_Sph,24078.0,22759.0,1109.0,94.52,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Cafe Mocha_1D_55%_14.5,1-Day_Color_Sph,19901.0,17906.0,1860.0,89.98,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Chestnut_1D_55%_14.5,1-Day_Color_Sph,5723.0,2471.0,3177.0,43.18,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Cider_1-DAY 55%,1-Day_Color_Sph,16133.0,12602.0,3411.0,78.11,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Coconut_55%_1-DAY,1-Day_Color_Sph,8776.0,7199.0,1532.0,82.03,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Date topaz,1-Day_Color_Sph,13670.0,11041.0,2464.0,80.77,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Espresso_55%_14.5_1-DAY,1-Day_Color_Sph,9957.0,8832.0,1050.0,88.7,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Hot Chocolate_55%_1-DAY,1-Day_Color_Sph,11370.0,9956.0,1309.0,87.56,
2023-01-02,C관(2공장),[10] 사출조립,PIA_MS1 Dazzle Beige_2T,1-Day_Color_Sph,22875.0,16297.0,6383.0,71.24,
2023-01-02,C관(2공장),[10] 사출조립,PIA_MS2 Dazzle Gray_2T,1-Day_Color_Sph,26972.0,24714.0,2033.0,91.63,
2023-01-02,C관(2공장),[10] 사출조립,PIA_MS6 Sakura Petal_2T,1-Day_Color_Sph,11977.0,6630.0,5242.0,55.36,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Matcha Latte_55%_1-DAY,1-Day_Color_Sph,22468.0,17180.0,5168.0,76.46,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Sheer Black_55%_1-DAY,1-Day_Color_Sph,23856.0,16112.0,7594.0,67.54,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Sheer Brown_55%_1-DAY,1-Day_Color_Sph,5709.0,3922.0,1667.0,68.7,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Shiny Brown_55%_14.5_1-DAY,1-Day_Color_Sph,25607.0,21179.0,4323.0,82.71,
2023-01-02,C관(2공장),[10] 사출조립,PIA_TAMA KONNYAKU_55%,1-Day_Color_Sph,5145.0,450.0,4650.0,8.75,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Tulle Brown_1D_55%_14.2,1-Day_Color_Sph,12129.0,10251.0,1788.0,84.52,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Date topaz CP-1.25 Toric_UV,1-Day_Color_Toric,15623.0,12117.0,3431.0,77.56,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Opal CP-0.75 Toric_UV,1-Day_Color_Toric,5279.0,4299.0,950.0,81.44,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Opal CP-1.25 Toric_UV,1-Day_Color_Toric,21766.0,18221.0,3410.0,83.71,
2023-01-02,C관(2공장),[10] 사출조립,PIA_Strawberry Quartz CP-0.75 Toric_UV,1-Day_Color_Toric,37101.0,27871.0,9020.0,75.12,
2023-01-02,C관(2공장),[20] 분리,1-Day_iris_JazzBlack,1-Day_Color_Sph,57265.0,40598.0,16667.0,70.89,
2023-01-02,C관(2공장),[20] 분리,1-Day_iris_Latin,1-Day_Color_Sph,21201.0,14259.0,6942.0,67.26,
2023-01-02,C관(2공장),[20] 분리,1-Day_iris_Rhapsody,1-Day_Color_Sph,21448.0,15479.0,5969.0,72.17,
2023-01-02,C관(2공장),[20] 분리,1-Day_iris_SoulBrown,1-Day_Color_Sph,49182.0,38265.0,10917.0,77.8,
2023-01-02,C관(2공장),[20] 분리,1-Day_iris_Suzy Gray,1-Day_Color_Sph,23568.0,20177.0,3391.0,85.61,
2023-01-02,C관(2공장),[20] 분리,AKMA REAL FIT 3 COLOR Brown,1-Day_Color_Sph,20737.0,15041.0,5696.0,72.53,
2023-01-02,C관(2공장),[20] 분리,ANW D_Kristin Creme Brown_38%,1-Day_Color_Sph,58702.0,41552.0,17150.0,70.78,
2023-01-02,C관(2공장),[20] 분리,ANW D_Kristin Dusk Brown_38%,1-Day_Color_Sph,76423.0,56137.0,20286.0,73.46,
2023-01-02,C관(2공장),[20] 분리,ANW D_Kristin PINK BROWN_38%,1-Day_Color_Sph,19190.0,12885.0,6305.0,67.14,
2023-01-02,C관(2공장),[20] 분리,Alcon D_Allure Hazel_W3C,1-Day_Color_Sph,19075.0,14278.0,4797.0,74.85,
2023-01-02,C관(2공장),[20] 분리,Alcon D_Chic Caramel_W4,1-Day_Color_Sph,8320.0,6838.0,1482.0,82.19,
2023-01-02,C관(2공장),[20] 분리,BELLA_1-Day_Hazel Honey,1-Day_Color_Sph,716.0,607.0,109.0,84.78,
2023-01-02,C관(2공장),[20] 분리,BELLA_RADIANT HAZELNUT,1-Day_Color_Sph,11627.0,9080.0,2547.0,78.09,
2023-01-02,C관(2공장),[20] 분리,Celena D_Aqua Grey,1-Day_Color_Sph,6205.0,6003.0,202.0,96.74,
2023-01-02,C관(2공장),[20] 분리,Freedom380,1-Day_Color_Sph,1126.0,1025.0,101.0,91.03,
2023-01-02,C관(2공장),[20] 분리,MG D_Mini Jeje Bronze_SISSE,1-Day_Color_Sph,6456.0,5373.0,1083.0,83.22,
2023-01-02,C관(2공장),[20] 분리,PIA D_Affogato_55% UV,1-Day_Color_Sph,22435.0,17603.0,4832.0,78.46,
2023-01-02,C관(2공장),[20] 분리,PIA D_Caramel Souffle_38% UV,1-Day_Color_Sph,11138.0,8189.0,2949.0,73.52,
2023-01-02,C관(2공장),[20] 분리,PIA D_Coffee Jelly_55% UV,1-Day_Color_Sph,20735.0,16001.0,4734.0,77.17,
2023-01-02,C관(2공장),[20] 분리,PIA D_Fuwafuwa Cappuccino_38% UV,1-Day_Color_Sph,2318.0,2109.0,209.0,90.98,
2023-01-02,C관(2공장),[20] 분리,PIA D_Jelly Gray_38% UV,1-Day_Color_Sph,7758.0,4275.0,3483.0,55.1,
2023-01-02,C관(2공장),[20] 분리,PIA D_Kyurukyuru Darkmocha_38% UV,1-Day_Color_Sph,1986.0,1095.0,891.0,55.14,
2023-01-02,C관(2공장),[20] 분리,PIA D_MELON PAN_55% UV,1-Day_Color_Sph,3242.0,2287.0,955.0,70.54,
2023-01-02,C관(2공장),[20] 분리,PIA D_Sugar Donut_38% UV,1-Day_Color_Sph,1950.0,1013.0,937.0,51.95,
2023-01-02,C관(2공장),[20] 분리,PIA_Cafe Mocha_1D_55%_14.5,1-Day_Color_Sph,1563.0,1258.0,305.0,80.49,
2023-01-02,C관(2공장),[20] 분리,PIA_Cider_1-DAY 55%,1-Day_Color_Sph,11898.0,9938.0,1960.0,83.53,
2023-01-02,C관(2공장),[20] 분리,PIA_Coconut_55%_1-DAY,1-Day_Color_Sph,9597.0,7619.0,1978.0,79.39,
2023-01-02,C관(2공장),[20] 분리,PIA_Date topaz,1-Day_Color_Sph,9390.0,5624.0,3766.0,59.89,
2023-01-02,C관(2공장),[20] 분리,PIA_Espresso_55%_14.5_1-DAY,1-Day_Color_Sph,19120.0,13731.0,5389.0,71.81,
2023-01-02,C관(2공장),[20] 분리,PIA_Hot Chocolate_55%_1-DAY,1-Day_Color_Sph,11102.0,9737.0,1365.0,87.7,
2023-01-02,C관(2공장),[20] 분리,PIA_MS1 Dazzle Beige_2T,1-Day_Color_Sph,12434.0,10874.0,1560.0,87.45,
2023-01-02,C관(2공장),[20] 분리,PIA_MS2 Dazzle Gray_2T,1-Day_Color_Sph,30456.0,26605.0,3851.0,87.36,
2023-01-02,C관(2공장),[20] 분리,PIA_MS6 Sakura Petal_2T,1-Day_Color_Sph,5734.0,3132.0,2602.0,54.62,
2023-01-02,C관(2공장),[20] 분리,PIA_Matcha Latte_55%_1-DAY,1-Day_Color_Sph,24701.0,20889.0,3812.0,84.57,
2023-01-02,C관(2공장),[20] 분리,PIA_Sheer Black_55%_1-DAY,1-Day_Color_Sph,12575.0,8726.0,3849.0,69.39,
2023-01-02,C관(2공장),[20] 분리,PIA_Shiny Brown_55%_14.5_1-DAY,1-Day_Color_Sph,40579.0,29970.0,10609.0,73.86,
2023-01-02,C관(2공장),[20] 분리,PIA_TAMA KONNYAKU_55%,1-Day_Color_Sph,952.0,831.0,121.0,87.29,
2023-01-02,C관(2공장),[20] 분리,PIA_Tulle Brown_1D_55%_14.2,1-Day_Color_Sph,36736.0,29700.0,7036.0,80.85,
2023-01-02,C관(2공장),[20] 분리,PIA_Date topaz CP-0.75 Toric_UV,1-Day_Color_Toric,561.0,0.0,561.0,0.0,
2023-01-02,C관(2공장),[20] 분리,PIA_Date topaz CP-1.25 Toric_UV,1-Day_Color_Toric,10265.0,7485.0,2780.0,72.92,
2023-01-02,C관(2공장),[20] 분리,PIA_Opal CP-0.75 Toric_UV,1-Day_Color_Toric,2055.0,1157.0,898.0,56.3,
2023-01-02,C관(2공장),[20] 분리,PIA_Opal CP-1.25 Toric_UV,1-Day_Color_Toric,2379.0,1914.0,465.0,80.45,
2023-01-02,C관(2공장),[20] 분리,PIA_Strawberry Quartz CP-0.75 Toric_UV,1-Day_Color_Toric,22610.0,15674.0,6936.0,69.32,
2023-01-02,C관(2공장),[20] 분리,PIA_Strawberry Quartz CP-1.25 Toric_UV,1-Day_Color_Toric,814.0,657.0,157.0,80.71,
2023-01-02,C관(2공장),[20] 분리,1-day_58_Kontaktni-HA,1-Day_Sph,253022.0,188646.0,64376.0,74.56,
2023-01-02,C관(2공장),[20] 분리,1D_55 clear feliamo(투명),1-Day_Sph,28094.0,16766.0,11328.0,59.68,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA D_Chestnut_55% UV,1-Day_Color_Sph,549.0,545.0,4.0,99.27,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA D_Tulle Brown_55% UV,1-Day_Color_Sph,20342.0,20265.0,23.0,99.62,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_1D 55% Cider,1-Day_Color_Sph,3324.0,3320.0,4.0,99.88,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_1D 55% Espresso 14.5,1-Day_Color_Sph,2397.0,2385.0,12.0,99.5,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_1D 55% Hot Chocolate,1-Day_Color_Sph,500.0,500.0,0.0,100.0,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_1D 55% Matcha Latte,1-Day_Color_Sph,1336.0,1335.0,1.0,99.93,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_Dazzle Beige,1-Day_Color_Sph,772.0,770.0,2.0,99.74,
2023-01-02,C관(2공장),[45] 하이드레이션/전면검사,(영문)PIA_Dazzle Gray,1-Day_Color_Sph,416.0,415.0,1.0,99.76,
